baseline_id,severe_shortfall_threshold,minimum_consecutive_days,recovery_days,training_start_date,training_end_date,training_days,background_episode_count,background_episodes_per_year,raw_threshold_days,raw_threshold_day_fraction,episode_active_days,episode_active_day_fraction,mean_episode_duration_days,median_episode_duration_days
doy_weekday_hw7,0.9,3,3,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw7,0.9,3,5,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw7,0.9,3,7,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw7,0.9,5,3,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw7,0.9,5,5,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw7,0.9,5,7,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw15,0.2,2,3,2019-01-01,2023-12-31,1826,56,11.201303395399782,507,0.27765607886089816,446,0.244249726177437,7.964285714285714,4.0
doy_weekday_hw15,0.2,2,5,2019-01-01,2023-12-31,1826,31,6.20072152245345,507,0.27765607886089816,612,0.33515881708652795,19.741935483870968,7.0
doy_weekday_hw15,0.2,2,7,2019-01-01,2023-12-31,1826,20,4.000465498357065,507,0.27765607886089816,748,0.40963855421686746,37.4,14.5
doy_weekday_hw15,0.2,3,3,2019-01-01,2023-12-31,1826,26,5.200605147864184,507,0.27765607886089816,339,0.18565169769989048,13.038461538461538,9.0
doy_weekday_hw15,0.2,3,5,2019-01-01,2023-12-31,1826,17,3.400395673603505,507,0.27765607886089816,515,0.28203723986856516,30.294117647058822,14.0
doy_weekday_hw15,0.2,3,7,2019-01-01,2023-12-31,1826,11,2.2002560240963858,507,0.27765607886089816,611,0.33461117196056955,55.54545454545455,44.0
doy_weekday_hw15,0.2,5,3,2019-01-01,2023-12-31,1826,12,2.400279299014239,507,0.27765607886089816,241,0.13198247535596933,20.083333333333332,18.0
doy_weekday_hw15,0.2,5,5,2019-01-01,2023-12-31,1826,8,1.600186199342826,507,0.27765607886089816,352,0.1927710843373494,44.0,28.5
doy_weekday_hw15,0.2,5,7,2019-01-01,2023-12-31,1826,5,1.0001163745892663,507,0.27765607886089816,433,0.23713033953997809,86.6,74.0
doy_weekday_hw15,0.3,2,3,2019-01-01,2023-12-31,1826,30,6.000698247535597,341,0.18674698795180722,274,0.15005476451259583,9.133333333333333,5.5
doy_weekday_hw15,0.3,2,5,2019-01-01,2023-12-31,1826,19,3.8004422234392115,341,0.18674698795180722,391,0.21412924424972618,20.57894736842105,10.0
doy_weekday_hw15,0.3,2,7,2019-01-01,2023-12-31,1826,14,2.8003258488499454,341,0.18674698795180722,447,0.2447973713033954,31.928571428571427,16.0
doy_weekday_hw15,0.3,3,3,2019-01-01,2023-12-31,1826,21,4.200488773274918,341,0.18674698795180722,224,0.12267250821467689,10.666666666666666,7.0
doy_weekday_hw15,0.3,3,5,2019-01-01,2023-12-31,1826,12,2.400279299014239,341,0.18674698795180722,323,0.1768893756845564,26.916666666666668,15.0
doy_weekday_hw15,0.3,3,7,2019-01-01,2023-12-31,1826,10,2.0002327491785326,341,0.18674698795180722,374,0.20481927710843373,37.4,20.5
