baseline_id,severe_shortfall_threshold,minimum_consecutive_days,recovery_days,total_episode_count,test_episode_count,target_anchor_date,target_episode_detected,target_onset_date,target_end_date,target_onset_offset_days,target_duration_days,target_severe_days,target_maximum_shortfall_fraction,target_cumulative_capacity_loss
doy_weekday_hw15,0.4,3,3,25,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.4,3,5,19,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.4,3,7,16,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.4,5,3,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.4,5,5,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.4,5,7,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.5,2,3,34,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,188,1.0,461425513.83339787
doy_weekday_hw15,0.5,2,5,26,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,188,1.0,461425513.83339787
doy_weekday_hw15,0.5,2,7,20,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,188,1.0,461425513.83339787
doy_weekday_hw15,0.5,3,3,14,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,188,1.0,461425513.83339787
doy_weekday_hw15,0.5,3,5,11,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,188,1.0,461425513.83339787
doy_weekday_hw15,0.5,3,7,8,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,188,1.0,461425513.83339787
doy_weekday_hw15,0.5,5,3,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,188,1.0,461425513.83339787
doy_weekday_hw15,0.5,5,5,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,188,1.0,461425513.83339787
doy_weekday_hw15,0.5,5,7,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,188,1.0,461425513.83339787
doy_weekday_hw15,0.7,2,3,7,2,2026-03-01,True,2026-03-01,2026-06-22,3,114,114,1.0,274868535.7059162
doy_weekday_hw15,0.7,2,5,6,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,182,1.0,461425513.83339787
doy_weekday_hw15,0.7,2,7,6,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,182,1.0,461425513.83339787
doy_weekday_hw15,0.7,3,3,4,2,2026-03-01,True,2026-03-01,2026-06-22,3,114,114,1.0,274868535.7059162
doy_weekday_hw15,0.7,3,5,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,182,1.0,461425513.83339787
doy_weekday_hw15,0.7,3,7,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,182,1.0,461425513.83339787
doy_weekday_hw15,0.7,5,3,2,2,2026-03-01,True,2026-03-01,2026-06-22,3,114,114,1.0,274868535.7059162
doy_weekday_hw15,0.7,5,5,1,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,182,1.0,461425513.83339787
doy_weekday_hw15,0.7,5,7,1,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,182,1.0,461425513.83339787
doy_weekday_hw15,0.9,2,3,2,2,2026-03-01,True,2026-03-01,2026-06-17,3,109,99,1.0,263185125.28519666
doy_weekday_hw15,0.9,2,5,2,2,2026-03-01,True,2026-03-01,2026-06-21,3,113,100,1.0,272563185.9855604
doy_weekday_hw15,0.9,2,7,1,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,162,1.0,461425513.83339787
doy_weekday_hw15,0.9,3,3,2,2,2026-03-01,True,2026-03-01,2026-06-17,3,109,99,1.0,263185125.28519666
doy_weekday_hw15,0.9,3,5,2,2,2026-03-01,True,2026-03-01,2026-06-21,3,113,100,1.0,272563185.9855604
doy_weekday_hw15,0.9,3,7,1,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,162,1.0,461425513.83339787
doy_weekday_hw15,0.9,5,3,2,2,2026-03-01,True,2026-03-01,2026-06-17,3,109,99,1.0,263185125.28519666
doy_weekday_hw15,0.9,5,5,2,2,2026-03-01,True,2026-03-01,2026-06-21,3,113,100,1.0,272563185.9855604
doy_weekday_hw15,0.9,5,7,1,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,162,1.0,461425513.83339787
doy_weekday_hw30,0.2,2,3,82,2,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,459991671.2018635
doy_weekday_hw30,0.2,2,5,53,1,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,459991671.2018635
doy_weekday_hw30,0.2,2,7,37,1,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,459991671.2018635
doy_weekday_hw30,0.2,3,3,39,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.2,3,5,29,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.2,3,7,22,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.2,5,3,17,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.2,5,5,13,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.2,5,7,11,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.3,2,3,49,3,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,459991671.2018635
doy_weekday_hw30,0.3,2,5,35,1,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,459991671.2018635
doy_weekday_hw30,0.3,2,7,27,1,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,459991671.2018635
doy_weekday_hw30,0.3,3,3,29,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.3,3,5,18,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.3,3,7,15,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.3,5,3,10,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.3,5,5,8,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
