episode_cluster_id,flow_episode_id,phase4_split,dependency_group,source_class,signal_family_id,evidence_date,days_from_onset,active_flow_episode_id,clean_pre_onset_signal,is_update
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,IUA_JWC_LMA,JWC-JWLA-032,2023-12-18,-660.0,,False,False
E045,45,test,E045,IUA_JWC_LMA,JWC-JWLA-033,2026-03-03,146.0,51.0,False,False
E045,45,test,E045,IUA_JWC_LMA,,2025-06-04,-126.0,,False,False
E045,45,test,E045,IUA_JWC_LMA,,,,,False,False
E045,45,test,E045,IUA_JWC_LMA,,,,,False,False
E038,38,test,E038,UKMTO_ADVISORY,,,,,False,False
E038,38,test,E038,UKMTO_ADVISORY,,,,,False,False
E038,38,test,E038,UKMTO_ADVISORY,,,,,False,False
E038,38,test,E038,UKMTO_ADVISORY,,,,,False,False
E038,38,test,E038,UKMTO_WARNING,,,,,False,False
E038,38,test,E038,UKMTO_WARNING,,,,,False,False
E038,38,test,E038,UKMTO_WARNING,,,,,False,False
E038,38,test,E038,UKMTO_WARNING,,,,,False,False
E042,42,test,E042,UKMTO_ADVISORY,,,,,False,False
E042,42,test,E042,UKMTO_WARNING,,,,,False,False
E042,42,test,E042,UKMTO_WARNING,,,,,False,False
E042,42,test,E042,UKMTO_WARNING,,,,,False,False
E045,45,test,E045,UKMTO_ADVISORY,,,,,False,False
E045,45,test,E045,UKMTO_ADVISORY,,,,,False,False
E045,45,test,E045,UKMTO_ADVISORY,,,,,False,False
E045,45,test,E045,UKMTO_WARNING,,,,,False,False
E045,45,test,E045,UKMTO_WARNING,,,,,False,False
E045,45,test,E045,UKMTO_WARNING,,,,,False,False
E042,42,test,E042,UKMTO_ADVISORY,,,,,False,False
E038,38,test,E038,UKMTO_ADVISORY,UKMTO-ADVISORY-006-25,2025-03-10,12.0,,False,False
E045,45,test,E045,UKMTO_ADVISORY,UKMTO-ADVISORY-034-25,2025-10-07,-1.0,,True,False
E042,42,test,E042,GARD,GARD-GNSS-GUIDANCE-2025-07-22,2025-07-22,-24.0,,False,False
E045,45,test,E045,UKMTO_ADVISORY,,2025-09-16,-22.0,,False,False
